Date,Sample Time,Chilled Water Temperature (oC),T-1440 Sulfuric Acid Temperature (oC),T-1430 Sulfuric Acid Temperature (oC),T-1420 Sulfuric Acid Temperature (oC),Chlorine Gas Flowrate (Nm3/h),T-1440 Chlorine Gas Pressure (kPa),T-1430 Chlorine Gas Pressure (kPa),T-1420 Chlorine Gas Pressure (kPa),T-1440 Chlorine Gas Temperature (oC),T-1430 Chlorine Gas Temperature (oC),T-1420 Chlorine Gas Temperature (oC)
2024-06-09,2024-06-09 15:29:13.954857728+00:00,8.963711348380766,15.081006300294407,15.197703052011775,16.727858537782136,4220.014442590776,14.447555819430814,14.691228341511286,17.80967820412169,17.08999411187439,16.8038159077527,18.536426947988225
2024-06-10,2024-06-10 11:59:30+00:00,9.263807240972223,14.345458916666667,14.635845472222222,15.8827215,4219.4016576388885,14.252344826388889,14.502741472222223,17.61433559027778,16.44055538888889,16.2663636875,17.762897805555557
2024-06-11,2024-06-11 03:29:56.276849664+00:00,8.788853131264917,13.916135250596659,14.338531885441528,15.22026155131265,4220.7214964200475,14.313518568019093,14.564307804295941,17.631447303102625,16.05639971360382,15.958017207637232,17.140862553699286
2024-07-28,2024-07-28 15:32:57.097729536+00:00,9.193524319380058,14.370554857620927,14.713548568677195,15.849250558775914,4152.823212025666,14.730324197354392,15.057696335607107,18.411647757907208,16.16473775295163,16.05989454017769,17.376523840700887
2024-07-29,2024-07-29 11:59:50.904033280+00:00,9.221428844021558,14.27184644552851,14.63205523545897,15.793316659346315,4163.603853386648,14.879650842705146,15.192011725417245,18.338029909262865,15.991915432107092,15.857162431098748,17.20202304148818
2024-07-30,2024-07-30 03:29:30+00:00,9.176810809590476,14.078694883142857,14.483775134380952,15.582488580690475,4172.748565980953,14.989110155809524,15.303283422119048,18.384575661190475,15.829914002952382,15.694467945238095,16.990381192904763
2024-10-01,2024-10-01 17:54:31.860082176+00:00,9.341419103540467,15.194348918106995,14.991962450713308,17.980158721796982,4233.373557621399,14.08426824580247,14.34554715595336,13.749645302263373,16.76969487643347,16.034625878696843,18.835767983072703
2024-10-02,2024-10-02 11:59:22.297428736+00:00,9.197652923145935,15.43582213305073,15.159626333182764,18.220415790493398,4243.003170555941,14.499826342619874,14.781473447053509,14.406757123015984,17.151539948624045,16.372279593335648,19.2769276157123
2024-10-03,2024-10-03 12:00:22.636996096+00:00,9.107874892333102,15.602045781926288,15.295640296731571,18.469469673393604,4234.7613779297635,14.498346834700973,14.780756528157163,14.347141077760778,17.29022171742698,16.460593239158552,19.466251448595273
2024-10-04,2024-10-04 11:59:44.000000256+00:00,9.328160274013195,15.813944266027779,15.55413094795139,18.67914517245139,4228.876883533333,14.448921633861112,14.728038502645834,14.29075890901389,17.46819267075,16.690522195069445,19.64626238941667
2024-10-05,2024-10-05 11:59:44.000000256+00:00,9.120546901454166,15.360221422006946,15.121115754916667,18.261528623305555,4238.983907563888,14.472797125083334,14.760627980562502,14.275407103291668,16.965809032270833,16.21886583767361,19.192005050402777
2024-10-06,2024-10-06 11:59:44.000000256+00:00,8.879273773598612,15.235610597493057,14.947189738479167,18.263768312131944,4253.214525915278,14.520390652597222,14.813443503097222,14.451492544048612,16.84902000648611,16.112833347576387,19.2607704753125
2024-10-07,2024-10-07 11:59:24.423905536+00:00,8.923676506698401,15.236219712223765,14.970367901223073,18.099554342328005,4234.525999468381,13.953177862731064,14.270695250208478,14.22181663362057,16.89694336180681,16.25281718421821,19.25953251010424
2024-10-08,2024-10-08 11:59:15.961057024+00:00,9.011219368417246,15.359626881550765,15.074585883852574,18.237264367934632,4222.772516979137,13.890161628574408,14.196785129200277,14.14433558310153,17.022617702447842,16.38933546718359,19.423717076077885
2024-10-09,2024-10-09 11:59:44.000000256+00:00,8.934291817775694,15.364980276256945,15.151051906215278,18.193343417854166,4216.983808660417,14.017179928631943,14.311701904055555,14.300234051826388,17.101389749270833,16.517397478895834,19.440942550958333
2024-10-10,2024-10-10 11:59:55.098748160+00:00,8.816690408397776,15.221648276529901,14.98797473208623,17.999296885910987,4221.887724321975,14.134530405792768,14.42587826937413,14.377736558942976,16.859047871585535,16.30410817969402,19.19097775264256
